Element,Symbol,At_No,r,EN_Pauling,VEC,density,Tm,Coh_E,E_GPa,K_GPa,G_GPa
Lithium,Li,3,1.52,0.98,1,0.53,453.5,1.63,11.5,11.58,4.23
Beryllium,Be,4,1.13,1.57,2,1.85,1560,3.32,286,100.4,143.2
Boron,B,5,0.82,2.04,3,2.34,2350,5.81,178,178.5,203.1
Carbon,C,6,0.77,2.55,4,2.2,4098,7.37,228,545.4,451.3
Sodium,Na,11,1.86,0.93,1,0.97,370.79,1.11,6.8,6.82,3.43
Magnesium,Mg,12,1.6,1.31,2,1.74,923,1.51,44.4,35.44,17.36
Aluminum,Al,13,1.43,1.61,3,2.7,933.32,3.39,70.2,72.18,26.59
Silicon,Si,14,1.15,1.9,4,2.33,1687,4.63,112,98.88,39.73
Phosphorus,P,15,1.06,2.19,5,1.82,317.15,3.43,30.4,19.19,7.16
Potassium,K,19,2.31,0.82,1,0.89,336.5,0.93,3.52,3.18,1.28
Calcium,Ca,20,1.98,1,2,1.54,1115,1.84,19.6,15.21,7.36
Scandium,Sc,21,1.64,1.36,3,2.99,1814,3.9,75.2,57.29,31.29
Titanium,Ti,22,1.46,1.54,4,4.51,1943,4.85,102,105.2,39.34
Vanadium,V,23,1.32,1.63,5,6,2183,5.31,127,162,46.5
Chromium,Cr,24,1.25,1.66,6,7.15,2180,4.1,145,190.3,116.7
Manganese,Mn,25,1.35,1.55,7,7.3,1519,2.92,196,59.67,76.52
Iron,Fe,26,1.24,1.83,8,7.87,1811,4.28,211,168.3,81.52
Cobalt,Co,27,1.25,1.88,9,8.86,1768,4.39,204,191.5,76.42
Nickel,Ni,28,1.25,1.91,10,8.9,1728,4.44,220,186.4,75.05
Copper,Cu,29,1.28,1.9,11,8.96,1357.62,3.49,128,131,45.13
Zinc,Zn,30,1.4,1.65,12,7.13,692.53,1.35,92.7,59.85,37.18
Gallium,Ga,31,1.39,1.81,3,5.91,302.76,2.81,9.81,56.9,37.47
Germanium,Ge,32,1.24,2.01,4,5.32,1211.25,3.85,74.9,77.24,39.24
Rubidium,Rb,37,2.44,0.82,1,1.53,312.3,0.85,2.35,3.15,1
Strontium,Sr,38,2.15,0.95,2,2.64,1050,1.72,15.7,11.62,5.23
Yttrium,Y,39,1.8,1.22,3,4.47,1795,4.37,66.3,36.62,25.8
Zirconium,Zr,40,1.6,1.33,4,6.52,2127,6.25,68,83.35,34.14
Niobium,Nb,41,1.43,1.6,5,8.57,2750,7.57,104,70.3,37.47
Molybdenum,Mo,42,1.36,2.16,6,10.2,2895,6.82,330,272.6,115.8
Technetium,Tc,43,1.36,1.9,7,11,2430,6.85,407,297.2,142.2
Ruthenium,Ru,44,1.34,2.2,8,12.1,2606,6.74,432,320.9,159.9
Rhodium,Rh,45,1.35,2.28,9,12.4,2236,5.75,379,270.6,147.2
Palladium,Pd,46,1.38,2.2,10,12,1827.8,3.89,117,180.9,51.11
Silver,Ag,47,1.45,1.93,11,10.5,1234.78,2.95,80,100.7,28.65
Cadmium,Cd,48,1.57,1.69,12,8.69,594.07,1.16,62.3,46.75,24.13
Indium,In,49,1.66,1.78,3,7.31,429.6,2.52,10.6,41.09,3.73
Tin,Sn,50,1.62,1.96,4,7.29,504.93,3.14,56.6,110.9,18.44
Cesium,Cs,55,2.65,0.79,1,1.87,301.5,0.8,1.69,2.03,0.65
Barium,Ba,56,2.18,0.89,2,3.62,1000,1.9,12.8,10.3,4.91
Lanthanum,La,57,1.88,1.1,3,6.15,1193,4.47,39.2,24.3,14.91
Hafnium,Hf,72,1.58,1.3,4,13.3,2506,6.44,138,108.9,52.97
Tantalum,Ta,73,1.43,1.5,5,16.4,3290,8.1,185,200.1,68.67
Tungsten,W,74,1.37,2.36,6,19.3,3687,8.9,407,323.3,153
Rhenium,Re,75,1.38,1.9,7,20.8,3458,8.03,520,371.8,178.5
Osmium,Os,76,1.35,2.2,8,22.59,3306,8.17,559,417.9,209.9
Iridium,Ir,77,1.36,2.2,9,22.56,2719,6.94,528,355.1,209.9
Platinum,Pt,78,1.39,2.28,10,21.5,2041.2,5.84,170,278.4,61.02
Gold,Au,79,1.44,2.54,11,19.3,1337.18,3.81,78,173.2,27.57
Thallium,Tl,81,1.72,1.62,3,11.8,577,1.88,7.89,35.93,2.75
Lead,Pb,82,1.75,2.33,4,11.3,600.46,2.03,15.8,42.99,5.4
