alloy_name,phases,VHN
Hf0.5Nb0.5Ta0.5Ti1.5Zr,BCC,301
NbTiV2Zr,BCC,304
NbTiVZr,BCC,335
HfNbTaTiZr,BCC,340
Al0.3HfNbTaTiZr,BCC,353
HfNbTaZr,BCC,365
HfMo0.25NbTaTiZr,BCC,395
Al0.5HfNbTaTiZr,BCC,396
Al0.5CrFe1.5MnNi0.5,BCC,396
AlNb1.5Ta0.5Ti1.5Zr0.5,BCC,408
Al0.75HfNbTaTiZr,BCC,427
MoNbTiV,BCC,441
AlNbTiV,BCC,448
MoNbTaW,BCC,454
AlCoFeNi,BCC,456
AlCoCrFeNi,BCC,458
Al0.25MoNbTiV,BCC,460
Al1.5CoCrFeNi,BCC,467.7
AlCrFeNi,BCC,472
Ti0.25NbMoTaW,BCC,478.3
HfMo0.5NbTaTiZr,BCC,480
Ti0.5NbMoTaW,BCC,481.2
Al2CoCrFeNi,BCC,484.3
Al2.5CoCrFeNi,BCC,487
Al0.5MoNbTiV,BCC,487
Al0.3NbTaTi1.4Zr1.3,BCC,490
HfMo0.75NbTaTiZr,BCC,492
NbTaVW,BCC,492
Al1.25CoCrFeNi,BCC,493
Ti0.75NbMoTaW,BCC,495.6
Al0.4Hf0.6NbTaTiZr,BCC,500
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,BCC,500
MoNbTaV,BCC,504
HfMoNbTaTiZr,BCC,505
Al3CoCrFeNi,BCC,506
TiNbMoTaW,BCC,507.5
Al0.75MoNbTiV,BCC,517
Al0.5NbTa0.8Ti1.5V0.2Zr,BCC,530
MoNbTaVW,BCC,536
AlMoNbTiV,BCC,537
Al1.25CoCrFeMnNi,BCC,539
HfMoTaTiZr,BCC,542
AlCrFeNiMo0.2,BCC,549
AlCoCrFeNb0.1Ni,BCC,569
Al0.5CoCrCuFeNiV1.4,BCC,577
Al0.5CoCrCuFeNiV1.2,BCC,579
Al0.5CoCrCuFeNiV2.0,BCC,587
AlMo0.5NbTa0.5TiZr,BCC,591
Al0.5CoCrCuFeNiV1.6,BCC,594
Al0.5CoCrCuFeNiV1.8,BCC,597
Al2CoCrFeMo0.5Ni,BCC,605
Al3CoCrCuFeNi,BCC,640
Al2CoCrFeNiTi,BCC,643
Al3.0CoCrCuFe,BCC,644
Al2.8CoCrCuFeNi,BCC,650
Al2.8CoCrCuFe,BCC,657
AlCoFeNiTiVZr,BCC,790
AlFeNiTiVZr,BCC,800
Hf0.5Mo0.5NbTiZr,BCC + Im,400
CrNbTiZr,BCC + Im,418
Hf0.5Mo0.5NbSi0.1TiZr,BCC + Im,442
CrNbTiVZr,BCC + Im,482
Hf0.5Mo0.5NbSi0.3TiZr,BCC + Im,494
Hf0.5Mo0.5NbSi0.5TiZr,BCC + Im,524
CrMo0.5NbTa0.5TiZr,BCC + Im,540
Hf0.5Mo0.5NbSi0.7TiZr,BCC + Im,580
AlCoCrFe1.5Mo0.5Ni,BCC + Im,635
AlCoCrFe2Mo0.5Ni,BCC + Im,639
Hf0.5Mo0.5NbSi0.9TiZr,BCC + Im,640
Al1.5CoCrFeMo0.5Ni,BCC + Im,655
AlCoCrFeNb0.25Ni,BCC + Im,668
AlCoCrFeMo0.5Ni0.5,BCC + Im,708
AlCrFeNiMo0.5Ti0.25,BCC + Im,712
AlCrFeNiMo0.5Ti0.4,BCC + Im,731.9
FeMoNiTiVZr,BCC + Im,740
AlCo1.5CrFeMo0.5Ni,BCC + Im,741
AlCoCrFeNb0.5Ni,BCC + Im,747
AlCoCrFeMo0.5Ni,BCC + Im,747
AlCrFeNiMo0.5Ti0.5,BCC + Im,751.7
AlCoCrFe0.6Mo0.5Ni,BCC + Im,754
AlCoCrFe0.5Mo0.5Ni,BCC + Im,755
AlCrFeNiMo0.5Ti0.6,BCC + Im,756.1
AlCrFeNiMo0.5Ti0.75,BCC + Im,766.2
AlCo0.5CrFeMo0.5Ni,BCC + Im,801
