Element,Symbol,Type,cry_str,At_No,r,VEC,r_cov,E_GPa,Coh_E,Work_Function,n_WS,V_m,R_P,K_GPa,G_GPa
Lithium,Li,non_transition,bcc,3,1.52,1,1.3,11.5,1.63,2.85,0.94,13,0,11.58,4.228
Beryllium,Be,non_transition,hcp,4,1.13,2,0.99,286,3.32,5.05,4.66,4.9,0.4,100.4,143.2
Boron,B,non_transition,rho,5,0.82,3,0.84,178,5.81,5.3,5.36,4.7,1.9,178.5,203.1
Carbon,C,non_transition,hcp,6,0.77,4,0.75,0,7.37,6.24,5.55,3.26,2.1,545.4,451.3
Nitrogen,N,non_transition,hex,7,0.75,5,0.71,0,4.92,6.86,4.49,4.1,2.3,0,0
Sodium,Na,non_transition,bcc,11,1.86,1,1.6,6.8,1.113,2.7,0.55,23.78,0,6.817,3.434
Magnesium,Mg,non_transition,hcp,12,1.6,2,1.4,44.4,1.51,3.45,1.6,14,0.4,35.44,17.36
Aluminum,Al,non_transition,fcc,13,1.43,3,1.24,70.2,3.39,4.2,2.7,10,1.9,72.18,26.59
Silicon,Si,non_transition,dc,14,1.15,4,1.14,112,4.63,4.7,3.38,8.6,2.1,98.88,39.73
Phosphorus,P,non_transition,orth,15,1.06,5,1.09,30.4,3.43,5.55,4.49,8.6,2.3,19.19,7.161
Potassium,K,non_transition,bcc,19,2.31,1,2,3.52,0.934,2.25,0.27,45.63,0,3.178,1.275
Calcium,Ca,transition,fcc,20,1.98,2,1.74,19.6,1.84,2.55,0.75,26.2,0.4,15.21,7.358
Scandium,Sc,transition,hcp,21,1.64,3,1.59,75.2,3.9,3.25,2.05,15.03,0.7,57.29,31.29
Titanium,Ti,transition,hcp,22,1.46,4,1.48,102,4.85,3.8,3.51,10.58,1,105.2,39.34
Vanadium,V,transition,bcc,23,1.32,5,1.44,127,5.31,4.25,4.41,8.36,1,162,46.5
Chromium,Cr,transition,bcc,24,1.25,6,1.3,145,4.1,4.65,5.18,7.23,1,190.3,116.7
Manganese,Mn,transition,bcc,25,1.35,7,1.29,196,2.92,4.45,4.17,7.25,1,59.67,76.52
Iron,Fe,transition,bcc,26,1.24,8,1.24,211,4.28,4.93,5.55,7.09,1,168.3,81.52
Cobalt,Co,transition,hcp,27,1.25,9,1.18,204,4.39,5.1,5.36,6.7,1,191.5,76.42
Nickel,Ni,transition,fcc,28,1.25,10,1.17,220,4.44,5.2,5.36,6.6,1,186.4,75.05
Copper,Cu,transition,fcc,29,1.28,11,1.22,128,3.49,4.45,3.18,7.12,0.3,131,45.13
Zinc,Zn,non_transition,hcp,30,1.4,12,1.2,92.7,1.35,4.1,2.3,9.17,1.4,59.85,37.18
Gallium,Ga,non_transition,orth,31,1.39,3,1.23,9.81,2.81,4.1,2.25,11.82,1.9,56.9,37.47
Germanium,Ge,non_transition,dc,32,1.24,4,1.2,74.9,3.85,4.55,2.57,9.87,2.1,77.24,39.24
